barcode,product_name,category,ingredients,energy_kcal,sugar_g,sodium_mg,saturated_fat_g,trans_fat_g,protein_g,fiber_g,additives_count,artificial_colors_count,artificial_sweeteners_count,preservatives_count,is_suspected_adulterant,quality_score,risk_level
890833930049,Energy Drink with High Caffeine #10,Beverages,"carbonated water, sucrose, glucose, taurine, caffeine, inositol, niacinamide, pyridoxine, color e133, sodium benzoate",41.1,14.1,74.2,0.0,0.0,0.4,0.0,6,1,0,2,0,65,Moderate Risk
890922822346,Instant Fried Noodles #11,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",414.5,2.7,2093.4,10.0,0.77,9.6,2.5,5,1,0,2,0,41,Moderate Risk
890586620347,Pure Extra Virgin Olive Oil #12,Spices & Condiments,100% extra virgin cold pressed olive oil,920.9,0.0,2.0,12.4,0.0,0.0,0.0,0,0,0,0,0,93,Low Risk
890610840914,Synthetic Colored Hard Candies #13,Bakery & Confectionery,"sugar, liquid glucose, allura red, brilliant blue fcf, tartrazine, artificial fruit flavor, citric acid",352.8,76.4,79.9,0.0,0.0,0.0,0.0,5,3,0,1,1,5,High Risk
890630330222,Adulterated Butter with Animal Fat & Starch #14,Dairy,"milk fat, animal tallow, starch, yellow dye 5, preservative",732.6,0.6,581.4,61.9,3.88,0.5,0.0,4,1,0,2,1,5,High Risk
890438680975,Commercial Potato Crisps #15,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",488.1,0.9,678.6,12.3,0.48,6.1,3.1,4,0,0,1,0,76,Moderate Risk
890241791783,Cold Pressed Orange Juice #16,Beverages,100% freshly pressed oranges,47.1,7.6,1.8,0.1,0.0,0.7,1.4,0,0,0,0,0,99,Low Risk
890610969144,Coconut Water 100% Pure #17,Beverages,pure tender coconut water,20.7,3.8,25.1,0.1,0.0,0.7,1.0,0,0,0,0,0,99,Low Risk
890732032272,Processed Nacho Chips #18,Snacks,"corn, vegetable fat, whey powder, disodium guanylate, artificial cheese flavor, yellow 6 lake",562.4,1.9,979.3,9.5,0.81,6.8,3.7,5,1,0,1,0,54,Moderate Risk
890511121761,Standard Processed Cheese #19,Dairy,"milk, salt, cheese cultures, enzymes, sodium phosphate, annatto",309.9,1.4,1182.2,23.0,0.44,18.0,0.0,3,1,0,1,0,53,Moderate Risk
890741714572,Adulterated Low-Cost Paneer #20,Dairy,"milk solids, vegetable oil, starch, sulfuric acid trace, detergent trace",325.4,3.9,560.9,18.8,2.44,8.7,0.0,4,0,0,2,1,5,High Risk
890781247694,Industrial White Sandwich Bread #21,Bakery & Confectionery,"refined wheat flour, sugar, yeast, palm oil, calcium propionate, emulsifier 481, flour treatment agent 300",283.2,5.1,556.2,1.3,0.2,8.6,1.9,4,0,0,2,0,83,Moderate Risk
890102927260,Oat & Honey Granola Bar #22,Bakery & Confectionery,"rolled oats, honey, almonds, crisped rice, sunflower oil, salt",412.9,15.4,185.2,2.1,0.0,9.3,5.0,0,0,0,0,0,99,Low Risk
890136281795,Adulterated Low-Cost Paneer #23,Dairy,"milk solids, vegetable oil, starch, sulfuric acid trace, detergent trace",320.8,4.0,570.0,20.8,2.78,8.4,0.0,4,0,0,2,1,5,High Risk
890551335181,Roasted Chickpeas #24,Snacks,"chickpeas, olive oil, sea salt",373.2,2.5,252.6,1.2,0.0,18.3,17.5,0,0,0,0,0,99,Low Risk
890734914045,Adulterated Low-Cost Paneer #25,Dairy,"milk solids, vegetable oil, starch, sulfuric acid trace, detergent trace",315.9,3.3,449.0,16.4,2.7,9.8,0.0,4,0,0,2,1,5,High Risk
890567765998,Adulterated Turmeric with Metanil Yellow #26,Spices & Condiments,"turmeric powder, lead chromate trace, chalk powder, metanil yellow color",251.4,2.3,167.4,1.5,0.0,5.3,12.1,3,1,0,0,1,56,High Risk
890392577102,Pure Green Tea Bag #27,Beverages,100% organic green tea leaves,0.9,0.0,1.0,0.0,0.0,0.2,0.0,0,0,0,0,0,99,Low Risk
890898304604,Instant Fried Noodles #28,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",489.4,2.6,1907.7,10.6,0.42,10.1,2.6,5,1,0,2,0,47,Moderate Risk
890797202853,Cold Pressed Orange Juice #29,Beverages,100% freshly pressed oranges,46.3,8.2,1.8,0.1,0.0,0.7,1.4,0,0,0,0,0,99,Low Risk
890501998330,Synthetic Milk Sample #30,Dairy,"urea, detergent, refined vegetable oil, caustic soda, water",155.3,0.4,731.1,16.3,4.45,1.2,0.0,5,0,0,3,1,5,High Risk
890220371639,Extruded Spicy Puffs #31,Snacks,"corn meal, palm olein, maltodextrin, sunset yellow fcf, tartrazine, tbhq, msg, artificial flavors",524.2,4.1,1135.7,15.6,1.39,5.4,1.5,7,2,0,2,1,5,High Risk
890744853570,Coconut Water 100% Pure #32,Beverages,pure tender coconut water,20.9,3.6,21.4,0.1,0.0,0.7,1.1,0,0,0,0,0,99,Low Risk
890637268775,100% Whole Wheat Sourdough #33,Bakery & Confectionery,"whole wheat flour, water, sourdough culture, sea salt",220.5,1.3,406.2,0.5,0.0,11.1,6.0,0,0,0,0,0,99,Low Risk
890108309553,Cottage Cheese (Paneer) #34,Dairy,"pasteurized milk, citric acid",257.7,1.0,21.7,17.1,0.0,17.1,0.0,0,0,0,0,0,95,Low Risk
890889147702,Pure Red Chilli Powder #35,Spices & Condiments,100% dried red chillies,315.0,7.0,29.1,3.9,0.0,11.0,26.0,0,0,0,0,0,99,Low Risk
890162383202,Cold Pressed Orange Juice #36,Beverages,100% freshly pressed oranges,49.3,9.5,1.8,0.1,0.0,0.7,1.5,0,0,0,0,0,99,Low Risk
890306815525,Instant Fried Noodles #37,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",401.4,3.1,1825.7,9.6,0.43,9.8,2.3,5,1,0,2,0,52,Moderate Risk
890951444671,Commercial Tomato Ketchup #38,Spices & Condiments,"tomato paste, sugar, distilled vinegar, salt, onion powder, sodium benzoate, potassium sorbate, pectin",99.1,23.2,827.8,0.1,0.0,1.4,1.4,3,0,0,2,0,64,Moderate Risk
890651662842,Cottage Cheese (Paneer) #39,Dairy,"pasteurized milk, citric acid",281.3,1.1,21.2,19.4,0.0,16.7,0.0,0,0,0,0,0,92,Low Risk
890203912837,Standard Processed Cheese #40,Dairy,"milk, salt, cheese cultures, enzymes, sodium phosphate, annatto",306.7,1.1,1107.0,21.2,0.78,17.0,0.0,3,1,0,1,0,44,Moderate Risk
890725535308,Organic Trail Mix #41,Snacks,"almonds, walnuts, raisins, sunflower seeds, pumpkin seeds",480.7,21.2,15.6,3.9,0.0,14.6,7.9,0,0,0,0,0,99,Moderate Risk
890654641934,Baked Whole Grain Crackers #42,Snacks,"whole wheat flour, canola oil, sea salt, malt extract",415.2,2.6,420.9,1.9,0.0,9.5,6.8,0,0,0,0,0,99,Low Risk
890230837169,Energy Drink with High Caffeine #43,Beverages,"carbonated water, sucrose, glucose, taurine, caffeine, inositol, niacinamide, pyridoxine, color e133, sodium benzoate",51.6,11.3,78.1,0.0,0.0,0.4,0.0,6,1,0,2,0,67,Moderate Risk
890255454001,Instant Fried Noodles #44,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",466.8,3.0,1952.7,8.7,0.63,9.8,2.3,5,1,0,2,0,43,Moderate Risk
890325761757,Pure Red Chilli Powder #45,Spices & Condiments,100% dried red chillies,289.5,7.5,34.8,3.3,0.0,12.9,25.7,0,0,0,0,0,99,Low Risk
890343823801,Baked Whole Grain Crackers #46,Snacks,"whole wheat flour, canola oil, sea salt, malt extract",480.3,2.6,378.2,2.0,0.0,9.8,7.2,0,0,0,0,0,99,Low Risk
890651144237,Fried Street-Style Savory Mix #47,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",560.5,1.4,1323.3,21.0,3.58,6.0,0.9,6,2,0,2,1,5,High Risk
890687122204,Baked Whole Grain Crackers #48,Snacks,"whole wheat flour, canola oil, sea salt, malt extract",462.1,2.3,401.3,2.1,0.0,8.8,7.0,0,0,0,0,0,99,Low Risk
890407900011,Cold Pressed Orange Juice #49,Beverages,100% freshly pressed oranges,44.2,10.3,1.9,0.1,0.0,0.7,1.6,0,0,0,0,0,99,Low Risk
890419333226,Synthetic Colored Hard Candies #50,Bakery & Confectionery,"sugar, liquid glucose, allura red, brilliant blue fcf, tartrazine, artificial fruit flavor, citric acid",433.9,78.6,95.6,0.0,0.0,0.0,0.0,5,3,0,1,1,5,High Risk
890562844357,Pure Green Tea Bag #51,Beverages,100% organic green tea leaves,0.9,0.0,0.9,0.0,0.0,0.2,0.0,0,0,0,0,0,99,Low Risk
890113226653,Standard Processed Cheese #52,Dairy,"milk, salt, cheese cultures, enzymes, sodium phosphate, annatto",275.7,1.3,1108.3,21.4,0.54,18.3,0.0,3,1,0,1,0,48,Moderate Risk
890763812201,Pure Ground Turmeric Powder #53,Spices & Condiments,100% turmeric rhizome powder,335.7,2.7,35.3,2.4,0.0,9.5,21.2,0,0,0,0,0,99,Low Risk
890718585043,Adulterated Chilli Powder with Sudan Dye #54,Spices & Condiments,"red chilli powder, brick powder trace, sudan i dye, salt, mineral oil",298.8,4.6,654.0,3.4,0.0,6.1,12.8,4,1,0,0,1,50,High Risk
890848014838,Pure Red Chilli Powder #55,Spices & Condiments,100% dried red chillies,276.1,7.0,27.6,4.0,0.0,11.8,27.3,0,0,0,0,0,99,Low Risk
890478099721,100% Whole Wheat Sourdough #56,Bakery & Confectionery,"whole wheat flour, water, sourdough culture, sea salt",274.1,1.3,373.4,0.4,0.0,11.5,5.9,0,0,0,0,0,99,Low Risk
890637846699,100% Whole Wheat Sourdough #57,Bakery & Confectionery,"whole wheat flour, water, sourdough culture, sea salt",237.0,1.6,407.9,0.4,0.0,9.8,6.3,0,0,0,0,0,99,Low Risk
890400730093,Fresh Butter #58,Dairy,"pasteurized cream, salt",791.5,0.1,641.8,56.3,0.0,0.8,0.0,0,0,0,0,0,77,Moderate Risk
890679891673,Pure Red Chilli Powder #59,Spices & Condiments,100% dried red chillies,292.3,6.9,26.4,4.1,0.0,11.0,24.4,0,0,0,0,0,99,Low Risk
890642419294,Skimmed Milk #60,Dairy,"skimmed milk, vitamin a, vitamin d3",39.9,5.7,56.3,0.2,0.0,3.5,0.0,0,0,0,0,0,99,Low Risk
890199387024,Pure Red Chilli Powder #61,Spices & Condiments,100% dried red chillies,282.4,8.3,33.8,3.3,0.0,11.1,28.3,0,0,0,0,0,99,Low Risk
890213658026,Fresh Butter #62,Dairy,"pasteurized cream, salt",699.9,0.1,598.0,46.7,0.0,0.9,0.0,0,0,0,0,0,77,Low Risk
890782577383,Instant Fried Noodles #63,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",413.8,3.1,1561.1,9.5,0.47,10.1,2.4,5,1,0,2,0,52,Moderate Risk
890362148634,Commercial Potato Crisps #64,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",490.6,0.9,713.3,11.4,0.64,6.4,3.2,4,0,0,1,0,67,Moderate Risk
890224858651,Cream-Filled Sandwich Cookies #65,Bakery & Confectionery,"refined wheat flour, sugar, hydrogenated palm oil, cocoa, high fructose corn syrup, soy lecithin, vanillin, artificial chocolate flavor, tbhq",434.2,37.1,359.3,10.2,2.01,4.9,2.2,5,0,0,2,1,5,High Risk
890756611745,Fried Street-Style Savory Mix #66,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",611.9,1.4,1342.6,22.4,3.5,6.2,0.9,6,2,0,2,1,5,High Risk
890415476184,Carbonated Cola Drink #67,Beverages,"carbonated water, high fructose corn syrup, caramel color iv, phosphoric acid, caffeine, artificial flavors",45.3,9.8,13.8,0.0,0.0,0.0,0.0,4,1,0,1,0,78,Moderate Risk
890387730051,Carbonated Cola Drink #68,Beverages,"carbonated water, high fructose corn syrup, caramel color iv, phosphoric acid, caffeine, artificial flavors",38.8,10.9,11.1,0.0,0.0,0.0,0.0,4,1,0,1,0,77,Moderate Risk
890923618531,Adulterated Chilli Powder with Sudan Dye #69,Spices & Condiments,"red chilli powder, brick powder trace, sudan i dye, salt, mineral oil",282.9,3.8,711.1,4.1,0.0,6.3,14.2,4,1,0,0,1,49,High Risk
890769413744,Energy Drink with High Caffeine #70,Beverages,"carbonated water, sucrose, glucose, taurine, caffeine, inositol, niacinamide, pyridoxine, color e133, sodium benzoate",52.1,14.3,95.2,0.0,0.0,0.4,0.0,6,1,0,2,0,65,Moderate Risk
890343806538,Extruded Spicy Puffs #71,Snacks,"corn meal, palm olein, maltodextrin, sunset yellow fcf, tartrazine, tbhq, msg, artificial flavors",490.4,4.6,1465.7,18.0,1.27,5.4,1.5,7,2,0,2,1,5,High Risk
890142510108,Organic Trail Mix #72,Snacks,"almonds, walnuts, raisins, sunflower seeds, pumpkin seeds",490.9,19.2,12.9,4.4,0.0,15.0,7.5,0,0,0,0,0,99,Moderate Risk
890103638259,Standard Processed Cheese #73,Dairy,"milk, salt, cheese cultures, enzymes, sodium phosphate, annatto",358.2,1.0,1248.5,24.5,0.48,19.5,0.0,3,1,0,1,0,51,Moderate Risk
890434396508,Adulterated Turmeric with Metanil Yellow #74,Spices & Condiments,"turmeric powder, lead chromate trace, chalk powder, metanil yellow color",273.2,2.2,201.2,1.8,0.0,5.5,12.5,3,1,0,0,1,57,High Risk
890758461605,Coconut Water 100% Pure #75,Beverages,pure tender coconut water,18.8,3.2,29.9,0.1,0.0,0.7,1.1,0,0,0,0,0,99,Low Risk
890438326992,Commercial Potato Crisps #76,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",462.9,0.7,747.4,10.4,0.47,6.3,3.3,4,0,0,1,0,78,Moderate Risk
890507190294,Cream-Filled Sandwich Cookies #77,Bakery & Confectionery,"refined wheat flour, sugar, hydrogenated palm oil, cocoa, high fructose corn syrup, soy lecithin, vanillin, artificial chocolate flavor, tbhq",499.9,33.7,380.5,8.6,2.1,4.7,2.1,5,0,0,2,1,5,High Risk
890282869459,Fried Street-Style Savory Mix #78,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",566.6,1.3,1546.3,20.3,3.66,5.7,1.0,6,2,0,2,1,5,High Risk
890458140851,Organic Trail Mix #79,Snacks,"almonds, walnuts, raisins, sunflower seeds, pumpkin seeds",475.3,20.5,16.7,4.1,0.0,16.3,7.9,0,0,0,0,0,99,Moderate Risk
890490624772,Dark Chocolate 85% #80,Bakery & Confectionery,"cocoa mass, cocoa butter, cane sugar, vanilla beans",584.2,14.6,17.8,28.2,0.0,8.3,10.3,0,0,0,0,0,88,Low Risk
890439240719,Fresh Butter #81,Dairy,"pasteurized cream, salt",807.8,0.1,597.1,57.1,0.0,0.9,0.0,0,0,0,0,0,77,Low Risk
890555915892,Whole Cow Milk #82,Dairy,"milk, vitamin d3",62.2,4.8,47.0,3.5,0.0,2.9,0.0,0,0,0,0,0,99,Low Risk
890802547650,Low-Cost Synthetic Fruit Drink #83,Beverages,"water, invert sugar syrup, metanil yellow, citric acid, clouding agent, artificial mango flavor, potassium metabisulphite",54.3,17.4,52.9,0.0,0.0,0.0,0.0,6,2,0,2,1,17,High Risk
890137990166,Fried Street-Style Savory Mix #84,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",634.2,1.6,1384.2,19.6,3.73,6.3,1.0,6,2,0,2,1,5,High Risk
890325557594,100% Whole Wheat Sourdough #85,Bakery & Confectionery,"whole wheat flour, water, sourdough culture, sea salt",229.1,1.8,430.7,0.5,0.0,11.4,6.0,0,0,0,0,0,99,Low Risk
890497551377,Pure Red Chilli Powder #86,Spices & Condiments,100% dried red chillies,273.2,6.7,32.6,3.8,0.0,10.9,29.5,0,0,0,0,0,99,Low Risk
890581199062,Adulterated Butter with Animal Fat & Starch #87,Dairy,"milk fat, animal tallow, starch, yellow dye 5, preservative",756.0,0.5,594.4,51.3,3.82,0.5,0.0,4,1,0,2,1,5,High Risk
890353309919,Instant Fried Noodles #88,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",401.9,3.1,1550.8,11.1,0.43,9.5,2.4,5,1,0,2,0,46,Moderate Risk
890116114111,Whole Cow Milk #89,Dairy,"milk, vitamin d3",61.2,4.3,42.6,3.6,0.0,3.3,0.0,0,0,0,0,0,99,Low Risk
890837714476,Cold Pressed Orange Juice #90,Beverages,100% freshly pressed oranges,43.6,7.7,2.3,0.1,0.0,0.8,1.5,0,0,0,0,0,99,Low Risk
890683965691,Oat & Honey Granola Bar #91,Bakery & Confectionery,"rolled oats, honey, almonds, crisped rice, sunflower oil, salt",454.5,16.0,207.1,2.2,0.0,7.7,6.0,0,0,0,0,0,99,Low Risk
890507635870,Dark Chocolate 85% #92,Bakery & Confectionery,"cocoa mass, cocoa butter, cane sugar, vanilla beans",628.9,16.6,14.3,28.7,0.0,8.5,11.4,0,0,0,0,0,87,Low Risk
890820554203,Fried Street-Style Savory Mix #93,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",606.1,1.8,1647.8,25.2,3.66,6.0,0.9,6,2,0,2,1,5,High Risk
890839833228,Greek Plain Yogurt #94,Dairy,"cultured pasteurized nonfat milk, live active cultures",53.6,3.6,40.4,0.5,0.0,10.1,0.0,0,0,0,0,0,99,Low Risk
890226804186,Low-Cost Synthetic Fruit Drink #95,Beverages,"water, invert sugar syrup, metanil yellow, citric acid, clouding agent, artificial mango flavor, potassium metabisulphite",63.5,16.6,51.6,0.0,0.0,0.0,0.0,6,2,0,2,1,18,High Risk
890860788175,Synthetic Colored Hard Candies #96,Bakery & Confectionery,"sugar, liquid glucose, allura red, brilliant blue fcf, tartrazine, artificial fruit flavor, citric acid",407.5,79.2,72.3,0.0,0.0,0.0,0.0,5,3,0,1,1,5,High Risk
890444326629,Commercial Potato Crisps #97,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",563.1,0.7,819.8,14.0,0.32,6.5,3.0,4,0,0,1,0,69,Moderate Risk
890166720310,Instant Fried Noodles #98,Snacks,"wheat flour, palm oil, salt, guar gum, flavor enhancer 621, caramel iv, sodium polyphosphate",505.6,3.2,1970.4,10.3,0.6,9.0,2.7,5,1,0,2,0,38,High Risk
890336456497,Fried Street-Style Savory Mix #99,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",563.3,1.5,1586.6,24.1,3.45,6.4,1.1,6,2,0,2,1,5,High Risk
890399741878,Commercial Potato Crisps #100,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",584.9,0.7,638.7,14.3,0.4,6.2,3.3,4,0,0,1,0,75,Moderate Risk
890895674932,Commercial Tomato Ketchup #101,Spices & Condiments,"tomato paste, sugar, distilled vinegar, salt, onion powder, sodium benzoate, potassium sorbate, pectin",120.2,26.9,1060.4,0.1,0.0,1.3,1.5,3,0,0,2,0,58,Moderate Risk
890450506163,Fried Street-Style Savory Mix #102,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",611.1,1.5,1484.7,19.2,3.57,5.8,1.0,6,2,0,2,1,5,High Risk
890622193957,Fried Street-Style Savory Mix #103,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",585.4,1.7,1311.1,19.9,3.49,5.5,1.0,6,2,0,2,1,5,High Risk
890272550240,Roasted Chickpeas #104,Snacks,"chickpeas, olive oil, sea salt",322.2,2.4,254.0,1.2,0.0,17.9,17.9,0,0,0,0,0,99,Low Risk
890184767349,Carbonated Cola Drink #105,Beverages,"carbonated water, high fructose corn syrup, caramel color iv, phosphoric acid, caffeine, artificial flavors",45.1,10.1,12.2,0.0,0.0,0.0,0.0,4,1,0,1,0,78,Moderate Risk
890546864433,Extruded Spicy Puffs #106,Snacks,"corn meal, palm olein, maltodextrin, sunset yellow fcf, tartrazine, tbhq, msg, artificial flavors",608.2,4.8,1452.4,18.5,1.18,5.2,1.6,7,2,0,2,1,5,High Risk
890417929968,Cottage Cheese (Paneer) #107,Dairy,"pasteurized milk, citric acid",283.7,1.4,20.9,14.6,0.0,20.0,0.0,0,0,0,0,0,98,Low Risk
890172535389,Low-Cost Synthetic Fruit Drink #108,Beverages,"water, invert sugar syrup, metanil yellow, citric acid, clouding agent, artificial mango flavor, potassium metabisulphite",57.3,14.6,40.6,0.0,0.0,0.0,0.0,6,2,0,2,1,19,High Risk
890604892763,Cottage Cheese (Paneer) #109,Dairy,"pasteurized milk, citric acid",266.4,1.1,24.6,15.1,0.0,19.7,0.0,0,0,0,0,0,98,Low Risk
890847247155,Fresh Butter #110,Dairy,"pasteurized cream, salt",808.6,0.1,634.2,57.9,0.0,0.8,0.0,0,0,0,0,0,77,Moderate Risk
890296017804,Industrial White Sandwich Bread #111,Bakery & Confectionery,"refined wheat flour, sugar, yeast, palm oil, calcium propionate, emulsifier 481, flour treatment agent 300",277.2,5.5,553.2,1.2,0.26,7.4,1.8,4,0,0,2,0,82,Moderate Risk
890953041006,Pure Green Tea Bag #112,Beverages,100% organic green tea leaves,1.0,0.0,1.2,0.0,0.0,0.2,0.0,0,0,0,0,0,99,Low Risk
890458050437,Cottage Cheese (Paneer) #113,Dairy,"pasteurized milk, citric acid",238.1,1.3,24.7,16.3,0.0,18.2,0.0,0,0,0,0,0,96,Low Risk
890291619115,Dark Chocolate 85% #114,Bakery & Confectionery,"cocoa mass, cocoa butter, cane sugar, vanilla beans",525.0,15.3,15.2,26.2,0.0,9.0,11.3,0,0,0,0,0,88,Low Risk
890800518176,Processed Nacho Chips #115,Snacks,"corn, vegetable fat, whey powder, disodium guanylate, artificial cheese flavor, yellow 6 lake",541.1,2.4,989.3,8.6,1.02,7.3,3.9,5,1,0,1,0,51,Moderate Risk
890981155468,Pure Extra Virgin Olive Oil #116,Spices & Condiments,100% extra virgin cold pressed olive oil,851.8,0.0,1.7,14.9,0.0,0.0,0.0,0,0,0,0,0,90,Low Risk
890197765410,Diet Soda with Multiple Sweeteners #117,Beverages,"carbonated water, aspartame, acesulfame potassium, caramel iv, sodium benzoate, phosphoric acid",1.1,0.0,36.8,0.0,0.0,0.0,0.0,5,1,2,1,0,66,Moderate Risk
890326209688,100% Whole Wheat Sourdough #118,Bakery & Confectionery,"whole wheat flour, water, sourdough culture, sea salt",207.9,1.5,494.3,0.6,0.0,9.6,5.7,0,0,0,0,0,99,Low Risk
890757823397,Baked Whole Grain Crackers #119,Snacks,"whole wheat flour, canola oil, sea salt, malt extract",465.3,2.8,393.9,1.7,0.0,8.9,7.2,0,0,0,0,0,99,Low Risk
890784054601,Carbonated Cola Drink #120,Beverages,"carbonated water, high fructose corn syrup, caramel color iv, phosphoric acid, caffeine, artificial flavors",44.7,11.9,12.5,0.0,0.0,0.0,0.0,4,1,0,1,0,76,Moderate Risk
890389752547,Greek Plain Yogurt #121,Dairy,"cultured pasteurized nonfat milk, live active cultures",60.0,4.0,32.9,0.5,0.0,9.2,0.0,0,0,0,0,0,99,Low Risk
890326980890,Synthetic Colored Hard Candies #122,Bakery & Confectionery,"sugar, liquid glucose, allura red, brilliant blue fcf, tartrazine, artificial fruit flavor, citric acid",441.2,65.6,85.8,0.0,0.0,0.0,0.0,5,3,0,1,1,5,High Risk
890315132781,Low-Cost Synthetic Fruit Drink #123,Beverages,"water, invert sugar syrup, metanil yellow, citric acid, clouding agent, artificial mango flavor, potassium metabisulphite",62.4,14.0,40.7,0.0,0.0,0.0,0.0,6,2,0,2,1,20,High Risk
890500996051,Pure Extra Virgin Olive Oil #124,Spices & Condiments,100% extra virgin cold pressed olive oil,861.7,0.0,2.3,13.0,0.0,0.0,0.0,0,0,0,0,0,92,Low Risk
890119798449,Extruded Spicy Puffs #125,Snacks,"corn meal, palm olein, maltodextrin, sunset yellow fcf, tartrazine, tbhq, msg, artificial flavors",501.0,3.9,1216.4,17.6,1.42,5.2,1.6,7,2,0,2,1,5,High Risk
890574016475,Diet Soda with Multiple Sweeteners #126,Beverages,"carbonated water, aspartame, acesulfame potassium, caramel iv, sodium benzoate, phosphoric acid",1.1,0.0,30.1,0.0,0.0,0.0,0.0,5,1,2,1,0,66,Moderate Risk
890313131997,Energy Drink with High Caffeine #127,Beverages,"carbonated water, sucrose, glucose, taurine, caffeine, inositol, niacinamide, pyridoxine, color e133, sodium benzoate",48.8,13.2,84.0,0.0,0.0,0.4,0.0,6,1,0,2,0,66,Moderate Risk
890677569638,Roasted Chickpeas #128,Snacks,"chickpeas, olive oil, sea salt",353.6,2.0,239.7,1.3,0.0,19.0,15.7,0,0,0,0,0,99,Low Risk
890463284203,Adulterated Low-Cost Paneer #129,Dairy,"milk solids, vegetable oil, starch, sulfuric acid trace, detergent trace",271.8,3.2,410.1,21.5,2.42,8.6,0.0,4,0,0,2,1,5,High Risk
890569689354,Dark Chocolate 85% #130,Bakery & Confectionery,"cocoa mass, cocoa butter, cane sugar, vanilla beans",603.6,15.6,14.3,29.3,0.0,8.3,10.2,0,0,0,0,0,87,Low Risk
890210540385,Diet Soda with Multiple Sweeteners #131,Beverages,"carbonated water, aspartame, acesulfame potassium, caramel iv, sodium benzoate, phosphoric acid",1.1,0.0,31.7,0.0,0.0,0.0,0.0,5,1,2,1,0,66,Moderate Risk
